Name,Frequency,Variants,Confidence_Level
Thomson,98,Liz Thomson; Thomson Good Morning; Liz Thomson Yes; Liz Thomson House District; Thomson Yes; Thomson For Bringing This,High
Senators,96,Senators My Name; Senators Sold; Senators Communities That Will; In Senators; Senators Thank You So; Senators About This; Senators It; Mckenna Yes Senators Metes; Mckenna Yes Senators Media; Mckenna Yes Senators Maintenance,High
Please Call The Roll,95,Please Call The Vote; Please Call; Please Call The Boat; Call The Roll,High
If You Could Please,93,Please; Could; If You Would Please,High
Moore,93,Moores; Moore Are There Any; Jc Moore; Moores Yes; Moores That; Moores Is There Any,High
Senna Cortez,92,Cortez; Senna; Senna Cortez Here; Senna Cortez Noted Table; Sen,High
Scher,90,Scherer; Scherer Is Saying; Scherer Votes; Scherer Share Votes,High
Leo Jaramillo,89,Jaramillo; Jaramil; Jarami,High
Nava,88,For The Navajo Nation,High
Powdrell Culbert Here,86,Powdrell Culbert; Powdrell Culbert Yes; Culbert,High
Abeta,85,,High
Baldonado,84,Baldonado No; Baldonado Yes; Baldonado For Bringing This,High
Chavis,82,Cha; Nicole Chavis; In Chavis; Chavis Yes; Chavis And The Second; Ann Chavis; Chavis Here,High
Sendo,82,Sendos; Send; Sendosia; Sendo Votes Yes,High
Hoffman,82,,High
Again,79,Once Again; Members The Committee Again; For The Question Again; But Again; Again That; Again It; Brandt And Again; Padilla Again; Again For Bringing This; Hickey Again; So Again,High
Whenever You'Re Ready,79,Read; Whenever; You'Re,High
Uh,78,Scott Uh; Uh Brown; Uh Garrett; Uh Vincent; Uh Hernandez; For Uh; Uh Matthews; Uh De La Cruz; Come Up And Uh; Has Uh As Well; Uh Anaya; Uh Sponsors,High
Burt It,78,Burt,High
Members The Committee Yes,74,Members The Committee Kerry; Members The Committee No; Members The Committee Just; Members The Committee You; Members The Committee So; Members The Committee Jason; Members The Committee We; Members The Committee Kelly; Members The Committee Jim; Members The Committee Very,High
Black,73,Rob Black; Black For Bringing This; Designate Rob Black; Robert Black,High
Committee Members My Name,73,Members My Name; Committee Member,High
Experts,72,Refer To My Experts; Expert; Represent Experts; Do You Have Experts,High
Cates,72,Kathleen Cates; Cates Yes,High
Shendo So,71,Shendo; Shendo No; Shendo So You'Ve,High
Boone,70,Bo; Boone Is Excused; Boon,High
Sarinana,70,Sarinana Here; Sarinana Next We'Re; Sarinana There Any Opposition; Sarinana Yes; Sarinana There; Sarinana No To Table; Sarinana That; Sarinana Would You Tell; Sarinana In The Audience,High
Bert,69,Bert Votes; Bert Yes; Bert Bert Votes; Bert Let Me Ask; Bert Votes Yes; Bert Bert Votes Yes,High
For Bringing This Bill,68,,High
Han,67,Lu Han; There Are No Hands; Hansen; Michelle Lu Han Grisham; You Have Your Hand; Lu Han You Want; Do Hang,High
Speaker Yes,67,Speaker Yes This Will,High
Reeb,67,,High
Shindo,66,Shin; Shindo Here; Shindo Yes; Shindo Votes Yes,High
