bill_id,bill_type,full_name,frequency,num_transcripts,variants
SB 271,SB,Senate Bill,8,8,"Senate Bill
271; Senate Bill 271; Senate bill 271"
HB 477,HB,House Bill,8,8,"House Bill
477; House Bill 477; house bill 477"
HB 43,HB,House Bill,7,7,HB 43; House Bill 43
HB 222,HB,House Bill,7,7,"HB
222; House Bill
222; House Bill 222; hb
222"
SM 2,SM,Senate Memorial,7,7,SM2; Senate Memorial 2
HB 60,HB,House Bill,7,7,"HB
60; HB 60; House Bill
60; House Bill 60; house Bill
60"
HB 280,HB,House Bill,7,7,"House Bill 280; house Bill
280"
SB 378,SB,Senate Bill,7,7,"Senate Bill
378; Senate Bill 378"
HB 70,HB,House Bill,7,7,"HB 70; HB70; House Bill
70; House Bill 70; house bill 70"
HB 58,HB,House Bill,7,7,"HB
58; HB 58; House Bill
58; House Bill 58"
HB 57,HB,House Bill,7,7,"HB 57; House Bill
57; House Bill 57; house Bill
57"
SB 210,SB,Senate Bill,7,7,"SB 210; Senate Bill
210; Senate Bill 210"
SB 27,SB,Senate Bill,7,7,"Senate Bill
27; Senate Bill 27"
HB 307,HB,House Bill,7,7,"HB
307; HB 307; House Bill
307; House Bill 307"
HB 268,HB,House Bill,7,7,HB 268; House Bill 268
HB 97,HB,House Bill,7,7,"HB
97; HB 97; House Bill
97; House Bill 97"
HB 95,HB,House Bill,7,7,"HB
95; HB 95; House Bill
95; House Bill 95; house Bill 95"
SB 158,SB,Senate Bill,7,7,"Senate Bill
158; Senate Bill 158"
SB 179,SB,Senate Bill,7,7,Senate Bill 179
SB 232,SB,Senate Bill,7,7,"SB 232; Senate Bill
232; Senate Bill 232"
SB 65,SB,Senate Bill,7,7,"SB 65; Senate Bill
65; Senate Bill 65"
SB 226,SB,Senate Bill,7,7,"Senate Bill
226; Senate Bill 226"
SB 510,SB,Senate Bill,7,7,"Senate Bill
510; Senate Bill 510"
HB 364,HB,House Bill,7,7,"House Bill
364; House Bill 364"
SB 40,SB,Senate Bill,7,7,"SB 40; Senate Bill
40; Senate Bill 40"
HB 194,HB,House Bill,7,7,"HB 194; House Bill
194; House Bill 194; House bill 194"
SB 167,SB,Senate Bill,7,7,"SB 167; Senate Bill
167; Senate Bill 167"
SB 411,SB,Senate Bill,7,7,"SB 411; Senate Bill
411; Senate Bill 411"
HB 419,HB,House Bill,7,7,"HB
419; HB 419; House Bill
419; House Bill 419; house bill 419"
HB 570,HB,House Bill,7,7,HB 570; House Bill 570
